label,sampler,L,V,sweeps,wall_seconds,tv,nll,ffbs_floor_tv,ffbs_floor_nll,n_chains
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,2,3.386273133335635,0.8909185488527669,409.56195068359375,0.062129863310483875,412.55419921875,3
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,2,2.7051421999931335,0.9201119651588101,402.9871826171875,0.062129863310483875,412.55419921875,2
random L=128 V=65 s=1.0,thrml_gibbs,128,65,5,6.762855499982834,0.062363398673151556,411.96844482421875,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,5,8.465682833339088,0.06279680228932058,411.78582763671875,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,5,8.465682833339088,0.7510463726338799,407.8389892578125,0.062129863310483875,412.55419921875,8
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,5,6.762855499982834,0.7945918420125697,406.66314697265625,0.062129863310483875,412.55419921875,6
random L=128 V=65 s=1.0,thrml_gibbs,128,65,10,13.525710999965668,0.06332097382486382,412.6139831542969,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,10,16.931365666678175,0.06223602369411993,411.64752197265625,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,10,16.931365666678175,0.6220372512361223,414.1441650390625,0.062129863310483875,412.55419921875,16
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,10,13.525710999965668,0.6742187514312452,410.32061767578125,0.062129863310483875,412.55419921875,12
random L=128 V=65 s=1.0,thrml_gibbs,128,65,20,27.051421999931335,0.06225853921944372,411.81622314453125,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,20,33.86273133335635,0.06207938651391259,412.1258239746094,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,20,33.86273133335635,0.48356594348604737,409.10430908203125,0.062129863310483875,412.55419921875,31
